,Date,Open,High,Low,Close,Adj Close,Volume,MA for 10 days,MA for 14 days,MA for 22 days,EMA of 22 Days,UBB,LBB,EMA2,EMA3,TEMA,pctB,MACD,RSI
101,5/8/1981,0.5,0.502232,0.5,0.5,0.022407,1976800,0.5020088,0.504304714,0.495738545,0.485206706,0.531343872,0.460133219,0.47974756,0.488299525,0.504676964,11.19685871,0.013693282,54.19362781
102,5/11/1981,0.491071,0.491071,0.488839,0.488839,0.021907,2984800,0.4995534,0.504145286,0.496042909,0.485373192,0.531273735,0.460812084,0.480009035,0.487899244,0.503991716,7.95522558,0.010216308,49.60901719
103,5/12/1981,0.488839,0.495536,0.488839,0.488839,0.021907,1064000,0.4979909,0.502710286,0.495941455,0.485531987,0.531245058,0.460637851,0.480265475,0.48753171,0.503331248,7.988178571,0.007197179,49.60901719
104,5/13/1981,0.488839,0.493304,0.486607,0.486607,0.021807,1226400,0.4968748,0.500159286,0.495434136,0.485581224,0.530947894,0.459920379,0.480512053,0.487194651,0.502402164,7.514445971,0.004106513,48.65438372
105,5/14/1981,0.484375,0.484375,0.479911,0.479911,0.021507,1232000,0.4941963,0.497448857,0.494622455,0.485321612,0.530724079,0.45852083,0.480734943,0.486885271,0.500645279,5.924988226,0.001287737,45.80658132
106,5/15/1981,0.491071,0.497768,0.491071,0.491071,0.022007,1226400,0.4926338,0.495854429,0.494318045,0.485584761,0.530421463,0.458214628,0.480959499,0.486602153,0.50047794,9.100626574,0.000386269,50.95867235
107,5/18/1981,0.5,0.504464,0.5,0.5,0.022407,1041600,0.4921874,0.495535571,0.495535591,0.486244338,0.530443466,0.460627715,0.48120399,0.486344841,0.501465883,11.27891172,-0.000515154,54.67171216
108,5/19/1981,0.493304,0.493304,0.491071,0.491071,0.022007,6356000,0.4910713,0.495057214,0.497564773,0.486465117,0.524873684,0.470255861,0.481447188,0.486111902,0.50116569,7.622104868,-0.00155966,50.55003887
109,5/20/1981,0.506696,0.511161,0.506696,0.506696,0.022707,3320800,0.492857,0.495057214,0.499695455,0.487390247,0.52140452,0.477986389,0.481721697,0.485903537,0.502909188,13.2247106,-0.001717045,56.70159107
110,5/21/1981,0.535714,0.537946,0.535714,0.535714,0.024007,8052800,0.4968748,0.497129929,0.501724682,0.489599419,0.52793483,0.475514534,0.4820853,0.485722681,0.508265037,22.96799948,-0.00038634,65.32799594
